BANKING,TM-CITIBK,"2,006.00 INR was spent on your Citi Credit Card ending 4386XXXXXXXX6617 on 23-JAN-18 at LINKEDIN. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 187,613.13. Update your Aadhaar number on your Credit Card by logging in to Citibank Online or Citi Mobile. To Know More, visit http://citi.asia/INaadhaarseeding",,,,,,,,,,,,,,,,,,
BANKING,VK-CITIBK,"2,285.73 INR was spent on your Credit Card 4386XXXXXXXX6617 on 12-JUL-17 at Pizzaexpress HK Ltd.Final FX rates and charges are applicable. Now use Snapshot on Citi Mobile to view your available credit limit even without logging in! Click http://citi.asia/1T7sR3P to download Citi Mobile",,,,,,,,,,,,,,,,,,
BANKING,VK-CITIBK,"20,800.00 TWD was spent on your Credit Card 4386XXXXXXXX6617 on 19-JUL-17 at SHEN HENG CHANG  002.Final FX rates and charges are applicable.",,,,,,,,,,,,,,,,,,
BANKING,TM-CITIBK,"20.62 USD was spent on your Citi Credit Card ending 4386XXXXXXXX4238 on 11-FEB-18 at Payoneer.com NY US. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 729,166.82. Update your Aadhaar number on your Credit Card by logging in to Citibank Online or Citi Mobile. To Know More, visit http://citi.asia/INaadhaarseeding",,,,,,,,,,,,,,,,,,
BANKING,DM-CITIBK,"200.00 SGD was spent on your Citi Credit Card ending 4386XXXXXXXX6617 on 21-SEP-17 at MBS FRONT OFFICE. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 728,179.10. View all your card details instantly, with Citi Mobile. Click http://citi.asia/INMBOLCCD to download.",,,,,,,,,,,,,,,,,,
BANKING,TM-CITIBK,2000 reward points have been redeemed on your Credit Card 4386XXXXXXXX4759 on 14-MAR-18 at GOLDEN GOAL SERVICE.,,,,,,,,,,,,,,,,,,
BANKING,TM-CITIBK,2000 reward points have been redeemed on your Credit Card 4386XXXXXXXX4759 on 17-FEB-18 at HI-TECH AUTO SERVICE.,,,,,,,,,,,,,,,,,,
BANKING,TM-CITIBK,2000 reward points have been redeemed on your Credit Card 4386XXXXXXXX6617 on 28-JAN-18 at HI-TECH AUTO SERVICE.,,,,,,,,,,,,,,,,,,
BANKING,VM-CITIBK,2000 reward points have been redeemed on your Credit Card 4386XXXXXXXX6617 on 30-AUG-17 at HI-TECH AUTO SERVICE.,,,,,,,,,,,,,,,,,,
BANKING,VKMMTRIP,"2004hrs-16Jun: Status of PNR: 4545212820, MMT-ID: NR2151043865295 is RQWL 3 for Train 22691 18Jun: Bangalore Cy Jn-Secunderabad Jn. Status - Chart Not Prepared",,,,,,,,,,,,,,,,,,
BANKING,VK-CITIBK,206.00 CNY was spent on your Credit Card 4386XXXXXXXX6617 on 20-JUL-17 at YIN DU XIAO CHU.Final FX rates and charges are applicable.,,,,,,,,,,,,,,,,,,
BANKING,AM-CITIBK,"220.00 HKD was spent on your Citi Credit Card ending 4386XXXXXXXX6617 on 10-NOV-17 at CHU KONG PASSENGER. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 45,297.86. View all your card details instantly, with Citi Mobile. Click http://citi.asia/INMBOLCCD to download.",,,,,,,,,,,,,,,,,,
BANKING,VK-CITIBK,220.00 HKD was spent on your Credit Card 4386XXXXXXXX6617 on 10-JUL-17 at CHU KONG PASSENGER.Final FX rates and charges are applicable.,,,,,,,,,,,,,,,,,,
BANKING,TM-CITIBK,2479 reward points have been redeemed on your Credit Card 4386XXXXXXXX6617 on 25-JAN-18 at HI-TECH AUTO SERVICE.,,,,,,,,,,,,,,,,,,
BANKING,DM-CITIBK,"25.00 USD was spent on your Citi Credit Card ending 4386XXXXXXXX6617 on 23-AUG-17 at INVISIONAPP INC. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 671,538.49. View all your card details instantly, with Citi Mobile. Click http://citi.asia/INMBOLCCD to download.",,,,,,,,,,,,,,,,,,
BANKING,DM-CITIBK,"25.00 USD was spent on your Citi Credit Card ending 4386XXXXXXXX6617 on 23-DEC-17 at INVISIONAPP INC. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 347,078.76. Update your Aadhaar number on your Credit Card by logging in to Citibank Online or Citi Mobile. To Know More, visit http://citi.asia/INaadhaarseeding",,,,,,,,,,,,,,,,,,
BANKING,TM-CITIBK,"25.00 USD was spent on your Citi Credit Card ending 4386XXXXXXXX6617 on 23-JAN-18 at INVISIONAPP INC. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 186,013.16. Update your Aadhaar number on your Credit Card by logging in to Citibank Online or Citi Mobile. To Know More, visit http://citi.asia/INaadhaarseeding",,,,,,,,,,,,,,,,,,
BANKING,AM-CITIBK,"25.00 USD was spent on your Citi Credit Card ending 4386XXXXXXXX6617 on 23-NOV-17 at INVISIONAPP INC. FX rates and charges as per T&Cs. Your available credit limit now is Rs. -1,222.42. View all your card details instantly, with Citi Mobile. Click http://citi.asia/INMBOLCCD to download.",,,,,,,,,,,,,,,,,,
BANKING,AD-CITIBK,"25.00 USD was spent on your Citi Credit Card ending 4386XXXXXXXX6617 on 23-OCT-17 at INVISIONAPP INC. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 298,076.20. View all your card details instantly, with Citi Mobile. Click http://citi.asia/INMBOLCCD to download.",,,,,,,,,,,,,,,,,,
BANKING,IM-CITIBK,"25.00 USD was spent on your Citi Credit Card ending 4386XXXXXXXX6617 on 23-SEP-17 at INVISIONAPP INC. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 723,244.66. View all your card details instantly, with Citi Mobile. Click http://citi.asia/INMBOLCCD to download.",,,,,,,,,,,,,,,,,,
BANKING,VK-CITIBK,25.00 USD was spent on your Credit Card 4386XXXXXXXX4238 on 31-JUL-17 at GOOGLE *Google Play.Final FX rates and charges are applicable.,,,,,,,,,,,,,,,,,,
BANKING,DM-CITIBK,25.00 USD was spent on your Credit Card 4386XXXXXXXX6617 on 23-JUL-17 at INVISIONAPP INC.Final FX rates and charges are applicable.,,,,,,,,,,,,,,,,,,
BANKING,VK-CITIBK,25.00 USD was spent on your Credit Card 4386XXXXXXXX6617 on 23-JUN-17 at INVISIONAPP INC.Final FX rates and charges are applicable.,,,,,,,,,,,,,,,,,,
BANKING,TM-CITIBK,2500 reward points have been redeemed on your Credit Card 4386XXXXXXXX4759 on 29-MAR-18 at HI-TECH AUTO SERVICE.,,,,,,,,,,,,,,,,,,
BANKING,VK-HDFCBK,25000.00 is credited to A/c ******8550 on 02-02-2018 21:56:47 for UPI/803321273972/veekirai@okicici,,,,,,,,,,,,,,,,,,
BANKING,VK-HDFCBK,25000.00 is debited from ******8550 on 03-03-2018 09:48:35 for UPI/806209927897/veekirai@okicici,,,,,,,,,,,,,,,,,,
BANKING,VK-CITIBK,"28,162.82 INR was spent on your Citi Credit Card ending 4386XXXXXXXX6617 on 23-AUG-17 at Sheraton Hsinchu Hot. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 673,142.14. View all your card details instantly, with Citi Mobile. Click http://citi.asia/INMBOLCCD to download.",,,,,,,,,,,,,,,,,,
BANKING,TM-CITIBK,280 reward points have been redeemed on your Credit Card 4386XXXXXXXX6617 on 07-FEB-18 at HI-TECH AUTO SERVICE.,,,,,,,,,,,,,,,,,,
BANKING,VM-CITIBK,"285.00 TWD was spent on your Citi Credit Card ending 4386XXXXXXXX6617 on 22-AUG-17 at TAIWAN TAXI. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 738,792.84. View all your card details instantly, with Citi Mobile. Click http://citi.asia/INMBOLCCD to download.",,,,,,,,,,,,,,,,,,
BANKING,TM-CITIBK,"29.00 USD was spent on your Citi Credit Card ending 4386XXXXXXXX4759 on 05-MAR-18 at ZEPLIN  INC. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 700,001.04. Update your Aadhaar number on your Credit Card by logging in to Citibank Online or Citi Mobile. To Know More, visit http://citi.asia/INaadhaarseeding",,,,,,,,,,,,,,,,,,
BANKING,AM-CITIBK,"29.00 USD was spent on your Citi Credit Card ending 4386XXXXXXXX6617 on 17-DEC-17 at ZEPLIN  INC. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 361,834.30. Update your Aadhaar number on your Credit Card by logging in to Citibank Online or Citi Mobile. To Know More, visit http://citi.asia/INaadhaarseeding",,,,,,,,,,,,,,,,,,
BANKING,AM-CITIBK,"29.00 USD was spent on your Citi Credit Card ending 4386XXXXXXXX6617 on 17-NOV-17 at ZEPLIN  INC. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 470.36. View all your card details instantly, with Citi Mobile. Click http://citi.asia/INMBOLCCD to download.",,,,,,,,,,,,,,,,,,
BANKING,VK-CITIBK,"29.00 USD was spent on your Citi Credit Card ending 4386XXXXXXXX6617 on 17-OCT-17 at ZEPLIN  INC. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 282,224.72. View all your card details instantly, with Citi Mobile. Click http://citi.asia/INMBOLCCD to download.",,,,,,,,,,,,,,,,,,
BANKING,DM-CITIBK,"29.00 USD was spent on your Citi Credit Card ending 4386XXXXXXXX6617 on 17-SEP-17 at ZEPLIN  INC. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 752,391.36. View all your card details instantly, with Citi Mobile. Click http://citi.asia/INMBOLCCD to download.",,,,,,,,,,,,,,,,,,
BANKING,VK-CITIBK,29.00 USD was spent on your Credit Card 4386XXXXXXXX6617 on 17-JUL-17 at ZEPLIN  INC.Final FX rates and charges are applicable.,,,,,,,,,,,,,,,,,,
BANKING,VK-CITIBK,29.00 USD was spent on your Credit Card 4386XXXXXXXX6617 on 18-MAY-17 at ZEPLIN  INC.Final FX rates and charges are applicable.,,,,,,,,,,,,,,,,,,
BANKING,DM-Citibk,2955 reward points have been redeemed on your Credit Card 4386XXXXXXXX6617 on 15-NOV-17 at HI-TECH AUTO SERVICE.,,,,,,,,,,,,,,,,,,
BANKING,VM-CITIBK,"3,000.00 TWD was spent on your Credit Card 4386XXXXXXXX6617 on 21-AUG-17 at HOLIDAY INN EAST TAI.Final FX rates and charges are applicable.",,,,,,,,,,,,,,,,,,
BANKING,TM-CITIBK,"3,140.00 INR was spent on Card 4386XXXXXXXX4238 on 04-MAY-18 at COURSERA. FX charges as per TnC. Available credit limit is now Rs. 763,311.06.",,,,,,,,,,,,,,,,,,
BANKING,TM-CITIBK,"3,140.00 INR was spent on your Citi Credit Card ending 4386XXXXXXXX4238 on 04-APR-18 at COURSERA. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 806,455.12.",,,,,,,,,,,,,,,,,,
BANKING,AM-CITIBK,"3,140.00 INR was spent on your Citi Credit Card ending 4386XXXXXXXX4238 on 04-DEC-17 at COURSERA. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 817,959.07. It is mandatory to update your Aadhaar number on your Credit Card by 31st Dec 2017. To Know More, visit http://citi.asia/INaadhaarseeding",,,,,,,,,,,,,,,,,,
BANKING,TM-CITIBK,"3,140.00 INR was spent on your Citi Credit Card ending 4386XXXXXXXX4238 on 04-FEB-18 at COURSERA. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 841,819.43. Update your Aadhaar number on your Credit Card by logging in to Citibank Online or Citi Mobile. To Know More, visit http://citi.asia/INaadhaarseeding",,,,,,,,,,,,,,,,,,
BANKING,VK-CITIBK,"3,140.00 INR was spent on your Citi Credit Card ending 4386XXXXXXXX4238 on 04-JAN-18 at COURSERA. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 789,035.84. Update your Aadhaar number on your Credit Card by logging in to Citibank Online or Citi Mobile. To Know More, visit http://citi.asia/INaadhaarseeding",,,,,,,,,,,,,,,,,,
BANKING,TM-CITIBK,"3,140.00 INR was spent on your Citi Credit Card ending 4386XXXXXXXX4238 on 04-MAR-18 at COURSERA. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 609,920.51. Update your Aadhaar number on your Credit Card by logging in to Citibank Online or Citi Mobile. To Know More, visit http://citi.asia/INaadhaarseeding",,,,,,,,,,,,,,,,,,
BANKING,VK-CITIBK,"3,140.00 INR was spent on your Citi Credit Card ending 4386XXXXXXXX4238 on 04-NOV-17 at COURSERA. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 819,427.62. View all your card details instantly, with Citi Mobile. Click http://citi.asia/INMBOLCCD to download.",,,,,,,,,,,,,,,,,,
BANKING,AM-CITIBK,"3.99 USD was spent on your Citi Credit Card ending 4386XXXXXXXX6617 on 08-NOV-17 at RedteaGO. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 40,549.94. View all your card details instantly, with Citi Mobile. Click http://citi.asia/INMBOLCCD to download.",,,,,,,,,,,,,,,,,,
BANKING,VK-CITIBK,"33,980.24 INR was spent on your Citi Credit Card ending 4386XXXXXXXX6617 on 22-AUG-17 at Sheraton Hsinchu Hot. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 700,864.12. View all your card details instantly, with Citi Mobile. Click http://citi.asia/INMBOLCCD to download.",,,,,,,,,,,,,,,,,,
BANKING,TM-CITIBK,"360.82 USD was spent on your Citi Credit Card ending 4386XXXXXXXX4238 on 11-FEB-18 at Payoneer.com NY US. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 705,917.06. Update your Aadhaar number on your Credit Card by logging in to Citibank Online or Citi Mobile. To Know More, visit http://citi.asia/INaadhaarseeding",,,,,,,,,,,,,,,,,,
BANKING,TM-CITIBK,"391.75 USD was spent on your Citi Credit Card ending 4386XXXXXXXX4238 on 05-MAR-18 at Payoneer.com NY US. FX rates and charges as per T&Cs. Your available credit limit now is Rs. 584,019.14. Update your Aadhaar number on your Credit Card by logging in to Citibank Online or Citi Mobile. To Know More, visit http://citi.asia/INaadhaarseeding",,,,,,,,,,,,,,,,,,
BANKING,BZ-SBIINB0,3rd party added by you on 23-11-2016 01:00:31 PM is ACTIVATED. Do not share your SMS password with any one,,,,,,,,,,,,,,,,,,
BANKING,VK-CITIBK,"4,000.00 CNY was spent on your Credit Card 4386XXXXXXXX6617 on 10-JUL-17 at SHEN ZHEN SHI L*HERM.Final FX rates and charges are applicable.",,,,,,,,,,,,,,,,,,
